id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
1034,Parents are not at home. Parents are not at home.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2007356495.jpg,Singapore,2013-05-19(戛纳电影节),Chen Zheyi,"['Yang Yanyan', 'Chen Tianwen', 'Angeli Bayani', 'Hui Jiale', 'Peter Wee', 'Jo Kukathas', 'Naomi Toh', 'Stephanie Kiong', 'Jia Min Chantel Teo', 'Zhi Fang Xu', 'Sea Moi Lee', 'James Ng', 'Sook Fen Wong', 'Siow Phing Tan', 'Aizuddiin Nasser']",7.9,"Jiale (played by Hui Jiale) is a smart but naughty child who is regarded as a troublesome child by the school. The pregnant mother (played by Yang Yanyan) is busy with work and family every day.
                                    
                                Jia Le, who was quite repulsive to Terry at first, took advantage of every opportunity to bully her. However, in order to support her family, Terry could only work hard to survive in this family. Because Jia Le's parents were worried about their own affairs and had no time to pay attention to him, Jia Le and Terry gradually developed a deeper and deeper relationship. However, at a young age, Jia Le did not realize that the family storm was becoming increasingly serious...
                                    
                                This was 1997, and the Asian financial crisis was quietly affecting this country...",Drama/Family,https://www.imdb.com/title/tt2901736,Mandarin Chinese / Tagalog / English / Hokkien,99分钟,
1035,Star Trek Into Darkness Star Trek Into Darkness,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1907669506.jpg,USA,2013-05-28(中国大陆),J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch', 'Simon Pegg', 'Anton Yelchin', 'Karl Urban', 'John Cho', 'Bruce Greenwood', 'Brandon Norman', 'Alice Eve', 'Chris Hemsworth']",8.0,"During the exploration of the planet Nibiru, Captain Kirk (Chris Pine) of the Enterprise took a bold move to rescue Spock (Zachary Quinto), which almost endangered the lives of all crew members, and he paid the price for it. Soon, Officer Kirk was reinstated, and a terrorist attack occurred in London that killed more than forty people. The instigator of the incident, John Harrison (played by Benedict Cumberbatch), is from within the alliance. After that, he flew a plane to attack a high-level meeting, and General Pike, whom Kirk respected most, was unfortunately killed. In order to prevent Harrison's escape conspiracy, Kirk once again led the Enterprise and set off to pursue it. During the crisis-ridden journey, the trust between him and his crew and friends was also greatly tested.
                                    
                                When they finally found Harrison, they finally learned his true identity, as well as the conspiracy and shady behind the London attack...",Action/Science Fiction/Adventure,https://www.imdb.com/title/tt1408101,English / Klingon,132分钟,
1036,Carry love to the end,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p797834801.jpg,Chinese mainland,2011-02-12(中国大陆),Zhang Yibai,"['Li Yapeng', 'Xu Jinglei', 'Wang Xuebing', 'He Jie', 'Cheng Yi', 'Cui Dazhi', 'Youhui', 'Chen Ming', 'Ning Hao', 'Feng Xuan', 'Wang Yun', 'Cao Weiyu', 'Zhao Wei']",6.6,"The film is divided into three chapters, showing the different lives of Yang Zheng (played by Li Yapeng) and Wenhui (played by Xu Jinglei) 12 years later. Chapter 1: Yang Zheng and Wen Hui have been married in Beijing for many years. Although their material life has allowed Yang Zheng to fulfill his promise to Wen Hui, they have drifted apart spiritually. Finally, after a party, Yang Zheng ran away from home for the first time... Chapter 2: Everyone organized a class reunion in Shanghai. The organizer invited car mechanic Yang Zheng and saleswoman Wen Hui respectively. The former is divorcing his ex-wife, while the latter is raising twin sons alone. At the party, encouraged by their classmates, they fell in love with each other again... Chapter 3: Late at night, Yang Zheng received an overseas call from Wen Hui. She cried and sang happy birthday on the phone, which made Yang Zheng determined to come to France to find him. However, at the Bordeaux station, Yang Zheng suddenly discovered that Wenhui was not picking him up, but a young girl. They were enjoying wine in the vineyard, but Yang Zheng gradually discovered the source of Wenhui's pain...
                                    
                                This film is the sequel to the movie version of the 1998 TV series, created by the original cast. Faye Wong and Eason Chan sang ""Because of Love"".",Drama/Romance,https://www.imdb.com/title/tt1753976,Mandarin Chinese,103分钟,
1037,Waiting for someone's coffee Waiting for someone's coffee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2204562870.jpg,Taiwan / Hong Kong,2014-08-15(中国台湾/中国香港),Jiang Jinlin,"['Song Yunhua', 'He Haochen', 'Lai Yayan', 'Lan Xinmei', 'Li Luo', 'Zhang Liang', 'Zhou Huimin', 'Hong Yanxiang']",6.2,"Siying (played by Song Yunhua), a freshman from college, comes to work at the ""Waiting for Someone"" coffee shop, where she gets acquainted with Albus (played by Lai Yayan), a cool guy with superb coffee brewing skills who can make any special coffee ordered by customers; the mysterious and beautiful proprietress (played by Zhou Huimin) who seems to have nothing to do every day; and her crush - Zeyu (played by Zhang Liang) who likes to sit in fixed seats and seems to have a lot of girlfriends around him.
                                        
                                    A-Tuo (played by Bruce), a senior who has many bizarre legends in the university, and a group of friends went to ""Waiting for Someone"" to drink coffee, but they met Albus, the man who stole his ex-girlfriend. Si-ying, who has a sense of justice, couldn't bear to see A-Tuo being laughed at and scolded by his friends, so she became friends with A-Tuo. The cheerful A-Tuo is passionate and sincere. In order to realize his dream of traveling around the world, he works everywhere, so he keeps delaying his graduation and becomes a legendary senior student on campus. Because of his part-time job, he met Bao Ge (played by Li Luo), the owner of a hot-fried restaurant who looked like a gangster but was actually a movie director, and Aunt Jindao (played by Lan Xinmei), the owner of a laundry shop with amazing cooking skills.
                                        
                                    A-Tuo, who was deeply impressed by Si-ying's sense of justice, often introduced his interesting friends to Si-ying. Si-ying's...",Comedy/Romance,https://www.imdb.com/title/tt3974790,Mandarin Chinese,119分钟,
1038,The story of the Big Bad Fox Le Grand Méchant Renard et autres contes...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2515632084.jpg,France/Belgium,2018-03-16(中国大陆),Benjamin Rene,"['Guillaume Darnault', 'Celine Jont', 'Damian Vitka', 'Antoine Sumski', 'Carmel Abdesadouk', 'Christophe Lemoine', 'Guillaume Boucherd', 'Boris Relinger', 'Margarie Rosenzweig', 'Jean-Lou Horwitz', 'Yves Yan']",8.4,"The movie is divided into three cute little stories.
                                    
                                One day, on a farm with pleasant scenery, piglets, rabbits and ducks met a human baby. The pelican responsible for escorting the baby asked three small animals to deliver the baby safely to its human mother. In this way, the three somewhat out-of-line animals embarked on a journey.
                                    
                                The big bad fox wants to take the plump hen as his meal, but the hen is too powerful and the fox is no match for her. Since he couldn't beat the hen, the fox extended his ""devil's claws"" to the three eggs that the hen was hatching. The fox decided to hatch the three chicks and raise them up before eating them one by one. However, the three chicks seemed to regard the fox as their mother and thought they were foxes themselves.
                                    
                                Christmas is coming soon, and the animals on the farm are happily preparing to welcome Santa Claus. However, the duck and the rabbit ""killed"" Santa Claus in an accident.",Comedy/Animation/Adventure,https://www.imdb.com/title/tt5851904,French,83分钟,
1039,Huge incoming calls,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505456879.jpg,"Mainland China/Hong Kong, China",2017-12-08(中国大陆),Peng Shun,"['Chen Xuedong', 'Zhang Xiaoquan', 'Gui Lunmei', 'Jiang Mengjie', 'Jiang Chao', 'Zhang Zhaohui', 'Chen Xinjian', 'He Huachao', 'Xuecun', 'Tan Kai']",5.7,"Ding Xiaotian, a young policeman from the police station, arrested telecom fraud criminals and coincided with the police telecom fraud task force. The task force has dispatched female special police Xiaotu to infiltrate the scammer team of Ah Hai and A Fang in Thailand to collect evidence. Ding Xiaotian worked closely with the undercover female special police Xiaotu, and Ahai and Afang's fraud group launched an exciting anti-fraud battle of wits, and gradually mastered the secrets and evidence of every aspect of the criminal gang's fraud. However, at the same time, Ahai also made a shocking bet with others to defraud 100 million yuan in 30 days, and many business tycoons and a large number of ordinary people were involved...",Drama/Crime,https://www.imdb.com/title/tt7039862,Mandarin Chinese,123分钟,
1040,Ghostbusters,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2358684311.jpg,USA,2016-07-15(美国),Paul Feig,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon', 'Leslie Jones', 'Chris Hemsworth', 'Bill Murray', 'Sigourney Weaver', 'Cecily Strong', 'Michael Kenneth Williams', 'Dan Aykroyd', 'Andy Garcia', 'Nathan Corddry', 'Matt Walsh', 'Toby Haas', 'Enie Hudson']",5.9,"Columbia University professors Erin Gilbert (Kristen Wiig) and Abby Yates (Melissa McCarthy) are writers who work well together. Now, in order to tell people that ""ghosts exist"", they will compile a book about ghosts together. During the in-depth study of ""ghosts"", when ""ghosts"" invaded the city where they lived, they and two other partners, Jillian Holtzmann (Kate McKinnon) and Patty Tolan (Leslie Jones), joined in the action to save the city and save the world...",Comedy/Action/Science Fiction,https://www.imdb.com/title/tt1289401,English,116分钟,
1041,Gulliver's Travels Gulliver's Travels,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1973692019.jpg,USA,2010-12-22(美国),Rob Letterman,"['Jack Black', 'Emily Blunt', 'Jason Segel', 'Amanda Peet', 'Billy Connolly', 'James Corden', 'Chris O'Dowd', 'T.J. Miller', 'Catherine Tate', 'Emmanuel Quatra', 'Oli Alexander', 'Richard Lane', 'David Stern', 'Stuart Scudmore', 'Jonathan Aris']",6.1,"This film is adapted from the novel of the same name by British writer Swift, telling the story of Gulliver's adventures in Lilliput.
                                    
                                Gulliver (played by Jack Black) is a company post office employee. He is not young at all, but has achieved nothing in career and love. His only hobby is the company of Star Wars dolls. An unexpectedly unexpected public mission brought him to the Bermuda Islands. Unexpectedly, he encountered a big storm when he went to sea. After everything calmed down, I found myself in Lilliput, a mysterious island that was not on the map. There were hundreds of ""villains"" living here. And he was being ""nailed"" to the beach with countless ropes and became their prisoner. But over time, the people of Lilliput and Gulliver became good friends. At this time, the princess (Emily Blunt Emily Blunt) will be married to another country, but she already has her childhood sweetheart. Gulliver came out to resolve the disputes between the two countries and helped the princess and her lover accomplish lifelong events. Gulliver thus became a hero here, and this experience also made him understand that the strength of the human heart has nothing to do with appearance.",Comedy/Adventure,https://www.imdb.com/title/tt1320261,English,82分钟,
1042,Alice in Wonderland 2: Through the Looking Glass Alice Through the Looking Glass,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2349374680.jpg,USA,2016-05-27(中国大陆/美国),James Bobin,"['Johnny Depp', 'Mia Wasikowska', 'Helena Bonham Carter', 'Anne Hathaway', 'Sacha Baron Cohen', 'Rhys Ifans', 'Matt Lucas', 'Lindsay Duncan', 'Leo Beale', 'Geraldine James', 'Andrew Scott', 'Richard Armitage', 'Edward Spears', 'Alan Rickman', 'Paul Whitehouse', 'Stephen Fry', 'Matt Vogel', 'Barbara Windsor', 'Mike Sheen', 'Timothy Spall', 'Toby Jones']",6.9,"Alice (Mia Wasikowska) returns to Wonderland to save her best friend the Mad Hatter (Johnny Depp). Together with the White Queen (Anne Hathaway) and a group of old friends, she embarks on a dazzling, gorgeous and unforgettable fantasy adventure. However, in addition to the evil Red Queen, Alice also faces another powerful enemy-time (Sacha Baron Cohen), who is a legendary character that no one can defeat! How can Alice turn things around and save the Mad Hatter and Wonderland?
                                    
                                The film is adapted from Lewis Carroll's acclaimed original work of the same name.",Fantasy/Adventure,https://www.imdb.com/title/tt2567026,English,115分钟(中国大陆),
1043,skyscraper 타워,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1803259636.jpg,South Korea,2012-12-25(韩国),Kim Ji-hoon,"['Seol Kyung-gu', 'Son Ye-jin', 'Kim Sang-gyeong', 'Kim In-kwon', 'Ahn Sung-ki', 'Song Jae-ho', 'Lee Joo-sil', 'Lee Hanwei', 'Kwon Tae-won', 'Jeok In-kyo', 'Jung In-ki', 'Cha In-pyo', 'Jeon Bae-soo', 'Kim Sung-mu', 'Park Min-young', 'Do Ji-han', 'Lee Sang-hong', 'Park Cheol-min', 'Park Jung Hak', 'Kim Young Soo', 'Park Yong Soo']",7.5,"On Christmas Eve in 2012, in Tower Sky, a 120-story skyscraper in the center of Seoul, South Korea, Yoon-hee (played by Son Ye-jin), a strong female manager of a Chinese restaurant, and Lee Tae-ho (played by Kim Sang-kyung), the introverted building property captain and single father ), a domineering and arrogant lady, a superior president, a careless little chef... People with different professions and identities follow their own tracks. They may be intertwined with each other, or they may have nothing to do with each other. Little do they know that a disaster is about to befall them. As night fell, just as people were immersed in the romantic and happy atmosphere created by artificial snowfall, an accident suddenly happened. A helicopter dedicated to snowmaking was affected by strong airflow and lost control and crashed into the building, causing chaos and an unstoppable fire.
                                    
                                Just now, it was as beautiful as heaven, but the luxurious and gorgeous building instantly turned into a cruel purgatory on earth...",Drama/Action,https://www.imdb.com/title/tt2554270,Korean / French,121分钟,
1044,Penguin Highway ペンギン・ハイウェイ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555927320.jpg,Japan,2019-05-17(中国大陆),Yuyasu Ishida,"['Kita Kana', 'Aoi Yu', 'Kugimiya Rie', 'Hana Emi', 'Fukui Miki', 'Noto Mamiko', 'Kuno Misaki', 'Nishijima Hidetoshi', 'Takenaka Naoto']",7.8,"It tells the story of a group of penguins who appeared out of thin air in a small town far away from the sea during an otherwise boring ordinary summer. After witnessing a Coke can thrown by the dentist's sister turn into a penguin, a young boy named Aoyama with strong curiosity decided to find out and embarked on an incredible and unforgettable summer adventure.
                                    
                                The film is adapted from the novel of the same name by the famous Japanese writer Morimi Nobukihiko.",Animation/Fantasy/Adventure,https://www.imdb.com/title/tt8076344,Japanese,117分钟,
1045,Fake Captain Der Hauptmann,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516702580.jpg,Germany / Poland / Portugal / France,2017-09-07(多伦多电影节),Robert Swink,"['Max Hubach', 'Milan Pescher', 'Frederik Law', 'Bernd Holschel', 'Waldmar Cobus', 'Alexander Fehling', 'Samuel Finzi']",8.5,"German World War II themed film. Based on a true story, the film tells the story of Willie Herold, a nineteen-year-old ordinary Wehrmacht soldier who became the so-called ""Executioner of Emsland"" during the final two weeks of World War II. Using the captain's uniform he picked up, he pretended to be an officer, gathered other soldiers who had broken up to form a special task force, and looted the land of the Nazi empire that was about to fall. He followed the example of the Führer and assumed the power of arrest and death.
                                    
                                The film won the Best Cinematography Award at last year's San Sebastian International Film Festival.",Drama/History/War,https://www.imdb.com/title/tt6763252,German,118分钟,
1046,True Grit True Grit,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1046956087.jpg,USA,2010-12-22(美国),Joel Cohen,"['Jeff Bridges', 'Hailee Steinfeld', 'Matt Damon', 'Josh Brolin', 'Barry Pepper', 'Dakin Matthews', 'Jalas Conroy', 'Paul Ree', 'Domhnall Gleeson', 'Elizabeth Marvel', 'Roy Lee Jones', 'Ed Corbin', 'Leon Latham', 'Bruce Green', 'Candace Hinkle']",8.3,"After her father was murdered, 14-year-old Mattie Rose (Hailee Steinfeld) arrived in Fort Smith, where the crime occurred, to handle the funeral arrangements on behalf of her family as the eldest daughter. Tom Cheney, the murderer who killed his father, has disappeared. In this boring and busy western town, no one cares when the fugitive who killed the stranger will be caught. Marty decides to hire the police to avenge her father. After being introduced, she chooses to cooperate with the drunken Sheriff Rost Coppone (Jeff Bridges). At the same time, a Texas trooper LaBeouf (Matt Damon) also hopes to capture Tom Cheney, so that he can obtain a high reward in Texas. In order for Cheney to be brought to justice locally, Marty must catch the murderer of her father before LaBeouf. Mature and strong Mattie and Rost entered the reservation, where there are many outlaws and enemies who are temporarily at large...",Drama/Western/Adventure,https://www.imdb.com/title/tt1403865,English,110分钟,
1047,"The love of ""eating""",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2459199108.jpg,"Mainland China / Hong Kong, China / Taiwan, China",2017-05-27(中国大陆/中国台湾),Cai Kangyong,"['Xu Xidi', 'Lin Chiling', 'Jin Shijia', 'Li Zifeng', 'Chen Handian', 'Fan Chan', 'Fu Lei', 'Shen Yulin', 'Liang Hequn', 'Zhao Zhengping', 'Gao Shanfeng', 'Ma Guoxian', 'Li Qingtian', 'Zeng Kaixuan', 'Chen Weimin', 'Xiao Zhong', 'Xie Yilin', 'Qiu Peipei', 'Xiao Tiantian', 'Huang Tenghao', 'Guo Wenyi', 'Zhang Lidong', 'Yang Shengda', 'Han Yibang']",5.3,"Shangguan Didi (Xu Xidi), an 18th-tier young actor who wants to prove himself in front of her superstar sister, and Xu Chunmei (Xu Xidi), the proprietress of the Blackbird Noodle House on the space station who has been waiting for true love for many years but was betrayed in the end. When the two people's worlds meet unexpectedly in an unexpected way, how will their fate change?",Comedy/Romance/Fantasy,https://www.imdb.com/title/tt6912580,Mandarin Chinese,90分钟,
1048,Me and my motherland,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg,Chinese mainland,2019-09-30(中国大陆),Chen Kaige,"['Huang Bo', 'Zhang Yi', 'Han Haolin', 'Du Jiang', 'Ge You', 'Liu Haoran', 'Song Jia', 'Wang Qianyuan', 'Ren Suxi', 'Wu Jing', 'Zhu Yilong', 'Wang Dong', 'Chen Feiyu', 'Tong Liya', 'Ou Hao', 'Zhang Jiayi', 'Hui Yinghong', 'Gong Beibi', 'Tian Zhuangzhuang', 'Han Dongjun', 'Xin Baiqing', 'Zhou Dongyu', 'Ren Dahua', 'Jiang Shan', 'Wang Yanhui', 'Geng Le', 'Jiang Wu', 'Liang Jing', 'Tong Dawei', 'Wei Chen', 'Hu Jun', 'Wang Tianchen', 'Peng Yuchang', 'Luo Haiqiong', 'Guo Cheng', 'Zhou Yiran', 'Fan Yujie', 'Liu Tao', 'Ma Yili', 'Zhang Jianya', 'Xu Zheng', 'Wang Luoyong', 'Gao Yalin', 'Wang Daotie', 'Cheng Yusen', 'Ma Shuliang', 'Jing Haipeng', 'Chen Dong', 'Lei Jiayin', 'Zhang Zifeng', 'Tao Hong', 'Guo Jingfei', 'Yuan Wenkang', 'Jia Chenfei', 'Shao Wen', 'Zhang Zhihua', 'Duan Bowen', 'Lang Ping']",7.7,"The seven directors respectively drew on countless historic classic moments that the motherland has experienced since the 70th anniversary of the founding of the People's Republic of China. It tells a touching story about the inseparable connection between ordinary people and the country. Focusing on the big events of the era, the seemingly distant but actually close connection between small people and the country awakens the common memories of Chinese people around the world.",plot,https://www.imdb.com/title/tt10147382,Mandarin Chinese,155分钟,
1049,Cloudy with a Chance of Meatballs 2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2162737378.jpg,USA,2013-09-27(美国),Cody Cameron,"['Bill Hader', 'Will Forte', 'Neil Patrick Harris', 'Anna Faris', 'Andy Samberg', 'Terry Crews', 'James Caan', 'Benjamin Brat', 'Kristen Schaal']",7.3,"The once peaceful Svorov Island was destroyed by the genius invention of Flinder Lockwood (voiced by Bill Hader): the refeeding machine. In the end, he succeeded in destroying the refeeding machine and planned to rebuild a beautiful home with Sam (voiced by Anna Faris) and the others. At this time, Flinder's most admired idol, Liv Company boss Chester V (voiced by Will Forte), fell from the sky. Chester is a genius inventor, and his company has gathered the world's top scientists. Chester invites Flinders to join Liv's company and promises to take the islanders to California while his company will be responsible for cleaning up the dilapidated island. In order to become a fantasy inventor, Flinder worked hard to carry out research and development. At the same time, bad news came from my hometown. Many scavengers were captured by living food, and it seemed that the refeeding machine was not completely destroyed and continued to develop in a direction that Flinder had not expected.
                                    
                                Under Chester's order, he, Sam, Dad and other partners embarked on a journey back home to find a solution to the trouble...",Comedy/Animation/Fantasy,https://www.imdb.com/title/tt1985966,English,95分钟,
1050,Cinderella Cinderella,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2231066272.jpg,USA/UK,2015-03-13(美国/中国大陆),Kenneth Branagh,"['Lily James', 'Richard Madden', 'Cate Blanchett', 'Hayley Atwell', 'Helena Bonham Carter', 'Holliday Granger', 'Sophie McShera', 'Stellan Skarsgård', 'Nonso Arnos', 'Derek Jacoby', 'Ben Chaplin', 'Rob Brydon', 'Eloise Webb', 'Laurie Calvert', 'Alex McQueen', 'Joshua McGuire', 'Wang Liya']",6.9,"After her mother's death, Rilla's (Lily James) father married the beautiful Mrs. Termany (Cate Blanchett), who also brought her two daughters, Anthesia (Holliday Grainger) and Tricia (Sophie McShera). Ruila coexisted peacefully with her stepmother and two sisters with a kind heart of being kind to others. However, all this changed drastically after the death of her father.
                                        
                                    Losing her father's protection, Rila was completely reduced to being Mrs. Termani's slave and a maid in the family. However, even though she was oppressed and insulted by her relatives, Rila still decided to stay and protect the family. By chance, Rilla meets a man named Kit (Richard Madden). However, she does not know that this charming young man in front of her is a prince, and she thinks he is just a servant. The prince held a large banquet in the palace and invited girls from all over the country to attend. Ruila also wanted to...",Romance/Fantasy/Adventure,https://www.imdb.com/title/tt1661199,English,106分钟,
1051,"In the Qin Dynasty, the dragon soared thousands of miles in the bright moon",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192465395.jpg,Chinese mainland,2014-08-08(中国大陆),Shen Leping,"['Feng Junhua', 'Ji Guanlin', 'Shen Dawei', 'Liu Qin', 'Wu Lei', 'Zhang Jiayi', 'Wang Xiaobing', 'Huang Ying', 'Cheng Yuzhu', 'Fan Junhang']",6.8,"Thousands of years ago, a terrible war burned the entire land. Chi You spread the flames of war everywhere, and was eventually defeated by Huang Di and sealed. However, the ambitious emperor Qin Shihuang sent his cavalry to invade Loulan in search of the legendary and terrifying weapon ""The Demon God of War"". In a certain frontier town, the naughty and alert young man Jing Tianming (voiced by Feng Junhua) accidentally got involved in a dispute between his beloved old man Lu (voiced by Cheng Yuzhu) and the mysterious Yin and Yang family. At the critical moment when he was being hunted, he received the help of the world's best swordsman Gai Nie (voiced by Liu Qin) and the young master of the Xiang clan, Xiang Xiaoyu (voiced by Shen Dawei). Uncle Lu had previously told Tianming to deliver a mysterious object to Loulan, and his encounter with Gai Nie, Xiang Xiaoyu and others undoubtedly caused a huge change in his destiny.
                                    
                                During the Qin and Han Dynasties, there were turbulent times and heroes emerged in large numbers. At dawn, they witnessed one legendary moment after another...",Animation/Fantasy/Adventure/Martial Arts,https://www.imdb.com/title/tt5545866,Mandarin Chinese / Shaanxi dialect,98分钟,
1052,Swinging engagement,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p506963644.jpg,Chinese mainland,2010-06-13(中国大陆),Yan Promethium,"['Yao Chen', 'Zhu Yuchen', 'Guo Xiaodong', 'Jiang Xiaohan', 'Wu Chenjun', 'Zhang Chenguang', 'Ma Yanli']",5.7,"Compared with the flourishing love affair of fashion magazine editor Wang Shunjia (played by Yao Chen), her career has recently fallen into a trough. The news of her upcoming marriage aroused the jealousy of her single female boss, so she suffered repeated setbacks at work. Fortunately, her boyfriend's friend Zhang Junhao (played by Zhu Yuchen) unexpectedly appeared in their lives, bringing some fresh interest to their lives.
                                    
                                Just as Shunjia was fully immersed in the joy of entering the marriage hall, her boyfriend Wu Juyuan (Guo Xiaodong) broke up with her because of his transference. After Shunjia fell out of love, Junhao not only gave Shunjia meticulous care, but also accompanied her to register for marriage in order to appease her emotions. In this way, a man and woman with no emotional foundation got married inexplicably. I wonder if this beautiful mistake can create a romantic story...",Drama/Comedy,https://www.imdb.com/title/tt7149536,Mandarin Chinese,90分钟,
1053,brain man,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2120479859.jpg,Japan,2013-02-09(日本),Tomoyuki Takimoto,"['Ikuta Toma', 'Matsuyuki Yasuko', 'Eguchi Yosuke', 'Nikaido Fumi', 'Ota Rina', 'Owada Kensuke', 'Sometani Shota', 'Mitsuishi Ken', 'Komoto Masaru', 'Ozawa Seitsu', 'Ishibashi Renji', 'Natsuyagi Isao']",7.1,"The successive bombings have plunged people living in Tokyo into panic. The reckless senior detective Chaya (played by Eguchi Yosuke) led his subordinates to track down the real culprit. As a result, they encountered an explosion in a remote place. Later, a mysterious man who claimed to be Suzuki Ichiro (played by Toma Ikuta) was discovered at the scene. Suzuki behaved unusually calmly, and Chaya then asked a psychiatrist, Washitani Mariko (played by Yasuko Matsuyuki), who had met once, to judge Suzuki's mental state. Through an extremely strict and meticulous appraisal, Mahiko discovered that Suzuki had no pain at all, and that all indicators were extremely average, walking, standing, sitting and lying very regularly, like a precise instrument. She and Chaya try to investigate Suzuki's life experience and solve the puzzles before them. At the same time, two crazy women, Midorikawa (Nikaido Fumi) and Yuria (Ota Rina), monitored the whereabouts of Suzuki, Chaya, Mariko and others, pushing the incident to an uncontrollable point...
                                    
                                This film is adapted from the original work of the same name by Shoto Guayu.",Mystery/Crime,https://www.imdb.com/title/tt2208020,Japanese,125分钟,
1054,Mustang Mustang,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2243553554.jpg,Türkiye / France / Qatar / Germany,2015-05-19(戛纳电影节),Denise Aegwynn,"['Abelk Pekjan', 'Burak Yigit', 'Alit Isjan', 'Gunes Sensoy', 'Doga Zeynep Dogusru', 'Iliada Akdiken', 'Burak Yigit']",7.9,"
                                　　初夏，在土耳其北部的一个村庄里，拉蕾和她的四个姐妹走在放学回家的路上，和男孩子们天真烂漫地打闹。然而这种行为却被当成了一桩不检点的丑闻，引发可怕的后果。家庭生活变成监狱，从此告别学校，而是为结婚做准备。五个姐妹都同样向往着自由，她们找到了一种突破这囚牢的方式。
                        ",plot,https://www.imdb.com/title/tt3966404,turkish,97分钟,
1055,Die Hard 5 A Good Day to Die Hard,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1896808402.jpg,United States / Russia / Hungary,2013-03-14(中国大陆),John Moore,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Yulia Snigir', 'Lativoje Bookovich', 'Cole Hauser', 'Amaury Nolasco', 'Sergey Kolesnikov', 'Roman Luknár', 'Zolee Ganxsta', 'Péter Takátsy', 'Pasha D. Linchnikov', 'Megalyn Echikunwok', 'Melissa Tang', 'April Grace', 'Cooper Thornton', 'Péter Kertész', 'Ferenz Elek', 'Ivan Fenyong', 'Edit Balázsovits', 'Scott Michael Campbell', 'Aldis Hodge', 'Joe Massingill', 'Jesse Birch', 'Justin Smith', 'Attila Apa', 'Sergey Nopko', 'Tsogtsaikan Narantsogt', 'Ivan Kamaras', 'Mike Doppud', 'Norbert Növényi', 'Sophie Ravos', 'Anne Fjalitsna']",6.3,"Although they have been baptized by bullets, the lone hero John McClane (Bruce Willis) and his son Jack (Jai Courtney) are still like ordinary father and son, with a deep and insurmountable gap. After losing contact for many years, John finally got news about his son, but found that Jack was imprisoned in Moscow on multiple charges and faced the threat of death. Without hesitation, he set off for distant Russia. On the day of the trial, a group of unidentified people attacked the court with serial bombs, targeting the Russian tycoon Yuri Komarov (played by Sebastian Koch) who was also accused. In the chaos, Jack escorts Yuri to escape, and the secret identity behind his prisoner is gradually emerging.
                                    
                                In a foreign country, isolated and helpless, the Macleans could only rely on each other to escape...",Action/Thriller/Crime,https://www.imdb.com/title/tt1606378,English / Russian / Hindi / Punjabi,98分钟,
1056,Yeti Adventure Smallfoot,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535550507.jpg,USA,2018-10-19(中国大陆),Kerry Kirkpatrick,"['Channing Tatum', 'James Corden', 'Zendaya', 'LeBron James', 'Comman', 'Gina Rodriguez', 'Danny DeVito', 'Jimmy Tatro', 'Yara Shahidi', 'Erie Henry']",7.4,"""Snow Monster Adventure"" is an all-ages adventure cartoon with a stellar cast and wonderful original music. The Bigfoot legend is thrown into disarray when a young, lively Yeti discovers humans he thought didn't exist.
                                    
                                The film tells a touching story about friendship, courage and the joy of exploration. The news about the human ""little foot"" caused the originally simple snowman tribe to fall into turmoil. They began to wonder, what kind of world existed outside the snow village?",Comedy/Animation/Song and Dance/Adventure,https://www.imdb.com/title/tt6182908,English,96分钟,
